Date,Rank,Symbol,DailyRet%,Gap%,DayRange%,Close,Volume
2026-04-28,1,TATACHEM,11.13,-0.11,14.0,801.0,25157396
2026-04-28,2,UFLEX,9.15,0.89,12.1,431.15,594381
2026-04-28,3,CHENNPETRO,7.03,0.44,8.03,1068.2,6443121
2026-04-28,4,KNRCON,6.43,-0.24,8.39,130.7,6925222
2026-04-28,5,INTELLECT,6.43,0.01,9.08,754.6,2772508
2026-04-28,6,DCAL,6.41,0.1,10.56,185.8,1547975
2026-04-28,7,RKFORGE,6.16,-0.53,9.29,603.0,4576227
2026-04-28,8,SCI,5.71,0.32,6.19,306.6,14987981
2026-04-28,9,PTC,5.64,1.03,5.69,206.0,6086487
2026-04-28,10,ONGC,5.63,0.12,5.74,302.0,51533248
2026-04-28,11,OIL,4.49,0.76,4.77,497.6,10877463
2026-04-28,12,BAJAJCON,4.45,-0.19,6.14,469.2,1328201
2026-04-28,13,ADANIENT,3.99,-0.02,4.27,2415.0,4371910
2026-04-28,14,PVRINOX,3.72,0.6,5.39,1057.0,852124
2026-04-28,15,SUVEN,3.68,0.99,7.35,219.8,1008675
2026-04-28,16,ADVENZYMES,3.6,0.39,4.12,342.0,829040
2026-04-28,17,KTKBANK,3.58,-0.55,5.47,263.52,5255420
2026-04-28,18,GESHIP,3.21,0.02,4.52,1473.6,652302
2026-04-28,19,SYMPHONY,3.19,1.2,4.31,882.0,464383
2026-04-28,20,SHARDACROP,3.18,0.24,5.09,1157.7,303299
2026-04-28,21,GALAXYSURF,3.1,0.18,5.8,1860.0,21585
2026-04-28,22,NAM-INDIA,3.02,2.21,4.83,1025.0,4122845
2026-04-28,23,GLENMARK,2.94,0.0,4.3,2396.5,1536727
2026-04-28,24,NHPC,2.92,0.11,2.95,85.55,28932468
2026-04-28,25,ATGL,2.91,0.47,7.56,654.5,15832486
2026-04-28,26,OFSS,2.87,0.59,2.62,9613.0,589398
2026-04-28,27,TNPL,2.85,0.04,4.91,152.0,436299
2026-04-28,28,SIS,2.84,-0.85,5.89,352.6,72608
2026-04-28,29,COALINDIA,2.84,0.37,3.89,467.4,26564178
2026-04-28,30,ATUL,2.69,0.0,5.22,6880.0,71903
2026-04-28,31,RADICO,2.65,1.21,3.95,3403.0,623333
2026-04-28,32,RBLBANK,2.6,-0.93,5.74,321.05,13408824
2026-04-28,33,POLYCAB,2.59,-0.28,3.1,8271.0,363304
2026-04-28,34,SONACOMS,2.49,-0.12,3.05,604.0,3376766
2026-04-28,35,BSE,2.48,0.28,2.71,3630.0,3778359
2026-04-28,36,MOIL,2.46,0.12,3.82,333.0,2090610
2026-04-28,37,KIRLOSENG,2.42,-0.02,3.86,1720.0,533607
2026-04-28,38,ADANIPOWER,2.33,0.28,2.45,224.0,46432400
2026-04-28,39,MCX,2.3,0.07,2.89,2898.3,1764370
2026-04-28,40,GMDCLTD,2.26,0.5,7.94,714.3,13264204
2026-04-29,1,DEVYANI,13.45,0.42,16.71,127.5,57413568
2026-04-29,2,BANDHANBNK,11.61,4.5,10.35,198.67,69828097
2026-04-29,3,GODFRYPHLP,7.03,0.6,8.13,2266.0,3924231
2026-04-29,4,CARERATING,6.9,0.9,7.95,1690.0,130924
2026-04-29,5,RBLBANK,6.31,0.61,7.43,341.3,22645376
2026-04-29,6,CHENNPETRO,5.32,1.1,9.5,1125.0,7670096
2026-04-29,7,GESHIP,5.24,0.77,7.32,1550.8,2497909
2026-04-29,8,GALAXYSURF,5.11,-0.75,6.49,1955.0,55820
2026-04-29,9,CENTURYPLY,4.66,-0.2,5.68,829.45,441744
2026-04-29,10,SUNDRMFAST,4.58,0.37,4.23,844.0,75764
2026-04-29,11,COCHINSHIP,4.46,0.82,3.88,1776.0,6695831
2026-04-29,12,SIS,4.4,-0.45,6.48,368.1,77891
2026-04-29,13,J&KBANK,4.39,-0.05,5.81,134.2,11372341
2026-04-29,14,VEDL,4.38,0.34,6.44,775.0,54338616
2026-04-29,15,GMDCLTD,4.16,0.52,5.84,744.0,9337703
2026-04-29,16,GUJALKALI,4.01,0.89,5.03,736.05,704315
2026-04-29,17,INDOSTAR,3.98,0.28,6.64,209.0,240278
2026-04-29,18,ITC,3.86,0.28,4.08,316.0,31152604
2026-04-29,19,LODHA,3.59,0.44,4.48,912.7,4730573
2026-04-29,20,MASFIN,3.31,1.37,3.17,328.0,130573
2026-04-29,21,WELCORP,3.22,0.82,4.47,1269.6,1900358
2026-04-29,22,STARHEALTH,3.19,5.21,10.48,532.8,7727099
2026-04-29,23,INDUSINDBK,3.16,0.68,3.84,913.0,3481154
2026-04-29,24,ELGIEQUIP,3.04,1.41,3.04,567.0,764834
2026-04-29,25,TECHM,2.99,0.11,4.16,1454.7,3329719
2026-04-29,26,ABFRL,2.98,1.23,4.92,65.05,8787885
2026-04-29,27,MAZDOCK,2.95,0.72,3.7,2772.0,4899537
2026-04-29,28,MARUTI,2.91,1.55,3.55,13265.0,746265
2026-04-29,29,COALINDIA,2.85,0.52,4.63,480.7,17998094
2026-04-29,30,DEEPAKNTR,2.85,-0.26,4.61,1735.0,275041
2026-04-29,31,PVRINOX,2.7,-0.02,4.35,1085.5,421172
2026-04-29,32,RELIANCE,2.66,-0.07,3.05,1430.0,30428098
2026-04-29,33,MCX,2.65,0.47,4.1,2975.0,2688698
2026-04-29,34,ABCAPITAL,2.55,0.28,5.04,347.65,6743684
2026-04-29,35,LICHSGFIN,2.52,0.66,3.99,563.15,2434188
2026-04-29,36,NAVINFLUOR,2.49,0.53,2.35,6800.0,313423
2026-04-29,37,CCL,2.44,-0.06,3.81,1132.7,294890
2026-04-29,38,CERA,2.39,0.32,3.17,5350.0,11140
2026-04-29,39,M&MFIN,2.32,0.7,3.45,321.6,8484415
2026-04-29,40,UFLEX,2.31,0.2,6.75,441.1,270331
2026-04-30,1,SYNGENE,8.5,0.13,20.55,468.05,59236192
2026-04-30,2,HFCL,8.37,-0.19,11.87,115.96,69828097
2026-04-30,3,GUJALKALI,8.28,-0.01,9.97,797.0,1583522
2026-04-30,4,BAJAJ-AUTO,5.45,-0.06,7.25,10039.0,1208345
2026-04-30,5,TIMETECHNO,5.23,0.96,4.53,194.25,9063052
2026-04-30,6,KSCL,4.41,-0.54,7.47,971.0,271538
2026-04-30,7,SUNTV,3.93,0.69,3.85,609.0,497615
2026-04-30,8,MASFIN,3.93,1.22,4.63,340.9,1515231
2026-04-30,9,CYIENT,3.36,0.12,4.62,872.35,586624
2026-04-30,10,MUTHOOTCAP,3.05,0.76,3.79,206.2,34404
2026-04-30,11,NUVOCO,3.03,-0.61,6.0,295.5,936761
2026-04-30,12,ADVENZYMES,3.01,0.31,4.7,346.1,479727
2026-04-30,13,KPITTECH,2.95,-0.13,5.35,760.8,2873932
2026-04-30,14,TORNTPOWER,2.94,-1.26,6.11,1750.0,776411
2026-04-30,15,TATACAP,2.72,-0.05,3.43,334.0,2102768
2026-04-30,16,BLISSGVS,2.72,-1.46,5.13,276.5,1777649
2026-04-30,17,PRAJIND,2.69,0.67,6.4,409.05,5603701
2026-04-30,18,MOTILALOFS,2.67,-1.9,5.73,805.95,4482963
2026-04-30,19,IIFL,2.63,2.55,6.96,460.8,17096708
2026-04-30,20,PTC,2.57,-1.46,6.08,210.27,4402527
2026-04-30,21,BALMLAWRIE,2.54,0.46,4.24,188.69,296551
2026-04-30,22,SUDARSCHEM,2.52,-1.06,4.25,917.0,235584
2026-04-30,23,BERGEPAINT,2.17,-0.65,4.15,471.0,249871
2026-04-30,24,BHEL,2.15,-0.17,3.73,352.4,17391508
2026-04-30,25,SUNPHARMA,2.09,-0.11,3.02,1810.0,4676954
2026-04-30,26,VARROC,2.08,-1.15,4.56,529.85,114974
2026-04-30,27,ASTRAMICRO,2.08,-0.38,4.31,1130.0,255041
2026-04-30,28,ADANIPOWER,1.97,-0.41,4.25,222.08,67022100
2026-04-30,29,DCMSHRIRAM,1.94,-1.31,8.03,1208.0,443396
2026-04-30,30,GESHIP,1.88,0.01,3.59,1580.0,965701
2026-04-30,31,SHILPAMED,1.83,0.36,3.49,409.95,335506
2026-04-30,32,STARCEMENT,1.75,0.23,3.76,230.0,98747
2026-04-30,33,PGHL,1.74,0.47,3.13,5200.0,22195
2026-04-30,34,CHOLAFIN,1.72,-1.43,7.77,1570.5,7193667
2026-04-30,35,VENKEYS,1.6,-0.21,4.91,1590.0,67272
2026-04-30,36,THERMAX,1.5,-0.12,4.63,4065.0,272657
2026-04-30,37,OMAXE,1.5,0.44,5.82,83.41,213314
2026-04-30,38,CESC,1.48,-0.74,3.21,188.0,2360487
2026-04-30,39,MPHASIS,1.48,3.24,4.84,2275.0,1956609
2026-04-30,40,ALKEM,1.43,0.03,2.69,5429.5,151785
2026-05-04,1,SIS,14.77,5.09,14.73,404.0,3625417
2026-05-04,2,LALPATHLAB,13.83,1.19,18.24,1564.0,8275943
2026-05-04,3,HFCL,8.66,5.51,7.86,126.0,69828097
2026-05-04,4,INDOSTAR,8.37,0.33,9.9,218.9,238498
2026-05-04,5,CHOLAHLDNG,8.01,1.09,12.48,1670.0,2814389
2026-05-04,6,VEDL,7.88,1.47,7.71,294.5,69828097
2026-05-04,7,BHEL,7.6,0.74,12.85,379.2,69828097
2026-05-04,8,QUESS,7.33,1.41,9.41,211.65,1247340
2026-05-04,9,IFBIND,7.3,3.09,7.41,1215.0,201163
2026-05-04,10,PCBL,7.01,0.35,8.67,309.25,5011766
2026-05-04,11,CESC,6.3,2.39,8.16,199.85,30080916
2026-05-04,12,GPTINFRA,6.21,-0.01,8.02,120.45,578793
2026-05-04,13,TTKPRESTIG,5.35,-0.79,10.21,532.0,284432
2026-05-04,14,HAL,5.28,0.6,6.28,4558.5,2838936
2026-05-04,15,THYROCARE,5.22,0.16,9.81,420.9,716173
2026-05-04,16,AWL,5.08,1.02,4.37,205.95,4034213
2026-05-04,17,GHCL,5.03,3.65,6.31,532.0,581906
2026-05-04,18,RAILTEL,4.89,5.3,4.6,337.5,4845837
2026-05-04,19,ASTERDM,4.81,2.55,6.51,741.0,11134715
2026-05-04,20,GODREJPROP,4.74,1.25,5.55,1918.9,2893292
2026-05-04,21,SCI,4.72,0.64,6.0,319.4,15165607
2026-05-04,22,CCL,4.72,0.39,4.51,1183.3,373149
2026-05-04,23,ADANIGREEN,4.71,0.11,6.23,1289.0,6289671
2026-05-04,24,SYNGENE,4.7,-0.15,8.26,490.05,4293507
2026-05-04,25,BIRLACORPN,4.68,0.97,5.38,960.95,111289
2026-05-04,26,ICICIPRULI,4.58,1.14,4.3,537.0,1728952
2026-05-04,27,GICRE,4.53,0.53,5.46,410.7,811653
2026-05-04,28,CHOLAFIN,4.53,-0.36,5.36,1641.6,5607213
2026-05-04,29,NESCO,4.46,-0.08,4.78,1289.0,77431
2026-05-04,30,DEEPAKFERT,4.45,1.39,3.86,1298.0,534427
2026-05-04,31,TNPL,4.41,0.34,6.23,157.84,569950
2026-05-04,32,STARCEMENT,4.35,1.24,5.43,240.0,652684
2026-05-04,33,ADANIPORTS,4.27,1.58,3.66,1747.0,7061719
2026-05-04,34,HEG,4.04,0.51,6.91,618.0,2869984
2026-05-04,35,KEI,3.98,0.53,5.71,5069.0,662061
2026-05-04,36,MOTILALOFS,3.98,1.91,3.91,838.0,2875656
2026-05-04,37,LUXIND,3.79,1.57,4.67,1459.9,113234
2026-05-04,38,METROPOLIS,3.76,-0.99,4.75,494.85,349010
2026-05-04,39,COLPAL,3.62,0.49,3.85,2176.0,508659
2026-05-04,40,NATIONALUM,3.6,0.92,5.92,409.6,14528816
2026-05-05,1,CREDITACC,11.32,0.6,18.77,1475.0,13497117
2026-05-05,2,WOCKPHARMA,8.32,4.83,7.25,1550.0,16415827
2026-05-05,3,BAJAJCON,6.43,-0.61,7.54,489.7,2426127
2026-05-05,4,QUESS,4.88,3.47,9.45,221.98,21920178
2026-05-05,5,AAVAS,4.72,-0.56,6.13,1448.0,219972
2026-05-05,6,FINCABLES,4.64,0.39,9.21,1065.2,2312471
2026-05-05,7,BAJAJELEC,4.63,-0.13,10.0,418.0,513152
2026-05-05,8,SHARDACROP,4.54,0.83,6.52,1080.0,245376
2026-05-05,9,AUROPHARMA,4.0,-0.07,4.65,1429.9,1809650
2026-05-05,10,DABUR,3.8,0.38,3.67,462.0,2736714
2026-05-05,11,VEDL,3.65,0.83,4.72,305.25,69298040
2026-05-05,12,M&M,3.57,0.13,4.88,3220.8,6437940
2026-05-05,13,CHOLAHLDNG,3.29,0.72,5.05,1725.0,285298
2026-05-05,14,ADANIGREEN,3.26,0.16,4.25,1331.0,4457919
2026-05-05,15,TEAMLEASE,3.22,0.43,4.39,1312.9,81900
2026-05-05,16,MARICO,3.05,0.39,6.35,810.0,5177887
2026-05-05,17,NAVINFLUOR,3.02,0.18,3.75,7003.0,532554
2026-05-05,18,NAM-INDIA,3.0,-0.04,5.23,1050.0,1092927
2026-05-05,19,MUTHOOTCAP,2.91,-0.95,6.55,217.15,41812
2026-05-05,20,THYROCARE,2.85,-0.12,3.79,432.9,302564
2026-05-05,21,IRCON,2.81,-0.45,5.8,159.05,15166002
2026-05-05,22,HEIDELBERG,2.76,0.28,3.98,163.9,122431
2026-05-05,23,GODREJCP,2.75,0.22,4.18,1100.0,2091944
2026-05-05,24,NYKAA,2.72,0.21,3.12,271.5,2386828
2026-05-05,25,MAHABANK,2.72,-0.44,4.37,81.3,28451608
2026-05-05,26,ABCAPITAL,2.71,-1.08,4.91,360.5,15367589
2026-05-05,27,MANKIND,2.67,-0.02,3.65,2327.9,406735
2026-05-05,28,INDIANB,2.58,-0.4,4.21,849.9,3434776
2026-05-05,29,ECLERX,2.51,0.32,4.84,1450.0,390916
2026-05-05,30,GODREJIND,2.49,0.1,4.12,983.4,140240
2026-05-05,31,RITES,2.49,-1.11,5.14,226.5,2073857
2026-05-05,32,INTELLECT,2.42,0.39,4.04,753.8,918072
2026-05-05,33,IRCTC,2.4,-0.16,5.51,569.25,4966103
2026-05-05,34,INDOCO,2.36,-1.42,3.77,217.0,32988
2026-05-05,35,HDFCAMC,2.29,0.0,4.31,2812.0,980522
2026-05-05,36,J&KBANK,2.27,0.0,3.99,134.99,7118032
2026-05-05,37,VTL,2.24,0.8,2.9,638.0,420035
2026-05-05,38,SOLARINDS,2.17,-0.23,3.15,15832.0,91830
2026-05-05,39,ABSLAMC,2.16,-0.43,4.97,1065.0,874812
2026-05-05,40,METROPOLIS,2.15,0.01,4.77,505.5,598892
2026-05-06,1,SHOPERSTOP,18.31,-0.98,23.12,349.0,3954099
2026-05-06,2,RAYMOND,15.39,1.84,18.33,518.0,6950680
2026-05-06,3,SPARC,12.07,0.75,15.86,156.9,21657232
2026-05-06,4,HFCL,11.73,1.07,11.72,142.5,69828097
2026-05-06,5,FSL,11.6,1.21,13.14,244.9,24429716
2026-05-06,6,DELTACORP,10.41,2.36,18.34,78.5,32294030
2026-05-06,7,COFORGE,9.59,7.98,4.19,1280.0,26298544
2026-05-06,8,TEJASNET,9.17,0.94,14.6,465.05,32245916
2026-05-06,9,ECLERX,8.97,0.75,9.38,1580.0,721856
2026-05-06,10,WOCKPHARMA,8.39,0.95,14.15,1680.0,22972116
2026-05-06,11,SRF,7.44,2.71,7.09,2725.0,4154388
2026-05-06,12,SAFARI,7.38,1.51,9.34,1470.0,249142
2026-05-06,13,THYROCARE,6.93,1.87,6.2,462.9,885741
2026-05-06,14,AJANTPHARM,6.82,2.0,6.56,3097.7,755295
2026-05-06,15,M&MFIN,6.82,1.67,6.36,326.75,6075094
2026-05-06,16,CAPLIPOINT,6.79,1.45,5.61,1845.4,253519
2026-05-06,17,HINDPETRO,6.54,1.12,6.67,399.3,12611851
2026-05-06,18,INDOCO,6.45,0.65,6.41,230.99,138424
2026-05-06,19,INDIGO,6.43,1.63,5.88,4524.1,2646278
2026-05-06,20,AMBER,6.34,1.12,7.07,8720.0,612278
2026-05-06,21,KNRCON,6.3,1.16,6.1,132.88,4229553
2026-05-06,22,THOMASCOOK,5.97,1.09,5.49,97.49,1267111
2026-05-06,23,MOTHERSON,5.65,0.7,5.37,127.8,22400264
2026-05-06,24,MOTHERSUMI,5.65,0.7,5.37,127.8,22400264
2026-05-06,25,LATENTVIEW,5.43,1.12,5.1,305.0,1134988
2026-05-06,26,GULFOILLUB,5.42,0.01,5.76,1012.0,90677
2026-05-06,27,TATAMOTORS,5.18,1.39,4.49,358.25,10979605
2026-05-06,28,BPCL,5.13,1.79,4.93,314.7,16825356
2026-05-06,29,GRINDWELL,5.04,0.64,4.89,1646.0,49342
2026-05-06,30,DCBBANK,5.04,1.16,6.76,190.02,3254685
2026-05-06,31,LODHA,4.82,0.66,4.53,949.7,2486690
2026-05-06,32,EDELWEISS,4.78,1.46,5.19,120.2,6680299
2026-05-06,33,IFCI,4.73,2.32,6.94,61.28,46008424
2026-05-06,34,SUVEN,4.72,0.5,5.68,215.0,481276
2026-05-06,35,MOTILALOFS,4.71,0.98,5.93,882.4,2359321
2026-05-06,36,ASHOKLEY,4.63,1.55,5.35,168.45,22098584
2026-05-06,37,LUPIN,4.61,1.07,4.65,2445.0,2881222
2026-05-06,38,LICHSGFIN,4.55,0.64,4.48,582.5,4100442
2026-05-06,39,NUVOCO,4.54,0.76,3.98,308.4,851407
2026-05-06,40,VMART,4.49,0.46,4.65,652.0,376721
2026-05-07,1,GODREJIND,20.28,0.93,19.54,1226.85,2494726
2026-05-07,2,TEJASNET,14.44,0.65,18.75,532.2,48401204
2026-05-07,3,KALPATARU,9.95,1.81,8.13,372.55,280173
2026-05-07,4,NUVOCO,9.57,0.52,10.64,337.9,4726704
2026-05-07,5,ENDURANCE,8.07,0.66,9.99,2550.0,568102
2026-05-07,6,PAYTM,7.78,3.6,6.15,1196.4,14133706
2026-05-07,7,ASTRAMICRO,7.53,0.46,7.4,1168.8,974614
2026-05-07,8,POLYCAB,7.5,1.18,7.14,9030.0,1822135
2026-05-07,9,VIPIND,7.1,0.0,9.74,324.5,2913544
2026-05-07,10,AVANTIFEED,6.93,-0.03,8.51,1451.0,1404448
2026-05-07,11,TCIEXP,6.9,0.19,9.23,573.0,117509
2026-05-07,12,INDOCO,6.84,0.71,19.05,246.8,1429168
2026-05-07,13,BAJAJCON,6.76,1.02,9.84,521.0,3594622
2026-05-07,14,SPARC,6.53,1.02,8.56,167.15,7201943
2026-05-07,15,BHARATFORG,6.34,0.5,9.08,1997.0,7050196
2026-05-07,16,BEML,6.28,0.47,7.01,2015.0,1079864
2026-05-07,17,JISLJALEQS,6.14,-0.44,7.46,36.3,13139847
2026-05-07,18,SHK,5.76,0.47,8.24,156.0,677260
2026-05-07,19,ORIENTELEC,5.71,0.11,8.53,194.5,1956101
2026-05-07,20,JAMNAAUTO,5.68,0.15,5.84,132.1,5613026
2026-05-07,21,BHEL,5.58,0.13,6.47,406.5,37165784
2026-05-07,22,VARROC,5.23,1.9,4.68,569.9,268163
2026-05-07,23,VRLLOG,5.22,1.26,4.65,268.25,408461
2026-05-07,24,SFL,5.14,0.73,6.73,573.0,236564
2026-05-07,25,STAR,5.02,0.46,6.0,1150.0,547275
2026-05-07,26,LUXIND,4.97,0.52,4.51,1508.9,108350
2026-05-07,27,KANSAINER,4.86,6.31,7.53,212.06,8628981
2026-05-07,28,BDL,4.85,0.0,5.27,1473.1,2658304
2026-05-07,29,KARURVYSYA,4.76,0.59,5.67,321.6,6729569
2026-05-07,30,SAFARI,4.63,2.1,5.97,1538.0,240451
2026-05-07,31,FINCABLES,4.61,0.03,5.14,1096.0,1080142
2026-05-07,32,IFCI,4.52,0.6,5.14,64.05,43496624
2026-05-07,33,PTC,4.34,0.0,5.04,228.5,4045884
2026-05-07,34,SUPRAJIT,4.29,1.17,3.92,435.95,174436
2026-05-07,35,KEC,4.27,0.46,5.43,612.35,2748834
2026-05-07,36,DEEPAKFERT,4.26,0.54,5.19,1346.0,559375
2026-05-07,37,RBLBANK,3.79,0.34,5.52,349.45,5988647
2026-05-07,38,EXIDEIND,3.74,0.0,6.7,365.15,11012001
2026-05-07,39,OMAXE,3.7,0.86,5.31,86.85,208038
2026-05-07,40,LINDEINDIA,3.63,0.11,6.57,7850.0,225283
2026-05-08,1,FSL,15.47,-0.31,19.86,272.4,69828097
2026-05-08,2,THERMAX,12.07,4.05,10.79,4707.0,3651394
2026-05-08,3,SONATSOFTW,9.46,1.48,12.25,296.65,29593188
2026-05-08,4,METROPOLIS,8.33,0.83,12.61,549.0,9336434
2026-05-08,5,MRPL,7.85,0.8,8.35,167.97,66015432
2026-05-08,6,LALPATHLAB,7.04,0.77,6.99,1655.0,884078
2026-05-08,7,CERA,6.71,0.55,8.15,5825.0,163768
2026-05-08,8,RAIN,6.45,0.15,7.62,143.5,10231563
2026-05-08,9,SCI,6.43,0.28,8.24,339.1,33332646
2026-05-08,10,COFORGE,6.32,-0.38,7.71,1365.2,9344844
2026-05-08,11,BERGEPAINT,5.24,0.13,6.93,515.0,2000987
2026-05-08,12,EDELWEISS,5.11,-0.48,6.8,125.68,9117885
2026-05-08,13,BAJAJCON,4.99,0.0,7.14,547.0,2086212
2026-05-08,14,TITAN,4.83,0.12,9.09,4517.0,4774044
2026-05-08,15,FINCABLES,4.47,0.09,7.21,1144.95,1950537
2026-05-08,16,TVTODAY,4.47,1.01,8.94,124.0,246430
2026-05-08,17,DABUR,4.28,3.85,4.58,487.0,11697106
2026-05-08,18,ECLERX,3.93,-0.93,6.43,1668.0,660539
2026-05-08,19,NBCC,3.92,0.21,5.4,101.01,45481224
2026-05-08,20,KANSAINER,3.74,0.44,5.61,220.0,1548457
2026-05-08,21,TRITURBINE,3.7,-0.26,7.0,598.1,2291390
2026-05-08,22,PNBHOUSING,3.66,0.82,4.05,1089.0,2062346
2026-05-08,23,SPARC,3.62,0.03,9.33,173.2,8711690
2026-05-08,24,LUXIND,3.58,5.0,3.0,1562.9,212699
2026-05-08,25,BASF,3.55,-0.15,7.07,4026.0,104945
2026-05-08,26,GODFRYPHLP,3.5,-0.34,6.68,2424.0,1760432
2026-05-08,27,TIMKEN,3.45,-0.54,5.1,3599.6,106575
2026-05-08,28,APOLLOHOSP,3.31,-0.1,3.86,8105.0,921579
2026-05-08,29,AURIONPRO,3.27,-0.22,4.87,900.0,443569
2026-05-08,30,KALYANKJIL,3.27,0.57,5.26,425.0,20919856
2026-05-08,31,GRAPHITE,3.16,-0.15,5.37,752.0,3570053
2026-05-08,32,M&MFIN,3.12,0.0,5.26,337.2,3823159
2026-05-08,33,KALPATARU,3.1,0.66,8.24,384.1,562901
2026-05-08,34,GILLETTE,2.98,0.62,3.18,8187.0,59166
2026-05-08,35,THYROCARE,2.86,4.34,10.16,486.0,10814031
2026-05-08,36,ASIANPAINT,2.52,0.16,3.63,2600.0,2315912
2026-05-08,37,PERSISTENT,2.52,0.01,3.55,5115.0,631588
2026-05-08,38,OLAELEC,2.36,-1.65,6.34,36.01,69828097
2026-05-08,39,SUPRAJIT,2.29,0.0,4.36,445.95,273140
2026-05-08,40,OMAXE,2.27,2.25,7.71,88.82,662015
2026-05-11,1,RAIN,14.25,7.87,11.01,163.95,69828097
2026-05-11,2,AFFLE,8.74,2.32,13.23,1642.0,8851786
2026-05-11,3,TATACONSUM,8.01,2.18,6.75,1270.9,19078772
2026-05-11,4,ADVENZYMES,7.81,4.49,12.2,390.0,7926334
2026-05-11,5,BIRLACORPN,7.59,5.03,10.8,1070.5,1395569
2026-05-11,6,GRINDWELL,7.5,3.93,8.97,1806.0,1055482
2026-05-11,7,HFCL,6.95,-0.29,10.13,149.41,69828097
2026-05-11,8,SHILPAMED,6.11,0.06,11.95,460.5,1789560
2026-05-11,9,CERA,5.58,-3.4,9.36,6150.0,96295
2026-05-11,10,ENDURANCE,4.78,1.06,7.46,2628.0,430525
2026-05-11,11,VTL,4.29,-1.21,9.6,607.0,1046149
2026-05-11,12,HERITGFOOD,4.26,0.12,6.03,378.0,1266445
2026-05-11,13,SYNGENE,4.07,-1.25,8.1,479.5,5126366
2026-05-11,14,HYUNDAI,3.92,1.09,5.1,1905.0,3973960
2026-05-11,15,UPL,3.8,-0.08,7.53,669.0,7872780
2026-05-11,16,WELCORP,3.74,0.54,5.16,1329.0,1173577
2026-05-11,17,BIOCON,3.53,0.46,6.47,392.05,12913696
2026-05-11,18,NH,3.52,0.0,5.64,1884.1,547195
2026-05-11,19,JKPAPER,3.43,-0.03,4.93,392.0,1571700
2026-05-11,20,GREAVESCOT,3.32,0.0,6.13,177.5,2924569
2026-05-11,21,VENKEYS,3.04,0.4,3.58,1682.1,110258
2026-05-11,22,ADANIGREEN,3.04,-0.52,5.45,1391.0,4177093
2026-05-11,23,TORNTPHARM,3.03,0.49,4.95,4518.0,566948
2026-05-11,24,BANKINDIA,3.0,2.22,3.43,144.1,31748524
2026-05-11,25,MCX,2.87,0.71,5.72,3187.0,6189925
2026-05-11,26,JBCHEPHARM,2.8,-0.88,5.26,2212.7,583596
2026-05-11,27,SHARDACROP,2.75,0.18,7.57,1157.0,504449
2026-05-11,28,OLAELEC,2.75,0.94,5.3,37.0,69828097
2026-05-11,29,NATCOPHARM,2.74,-1.69,6.37,1207.1,1263229
2026-05-11,30,MAXHEALTH,2.67,-0.05,3.75,1040.0,3039172
2026-05-11,31,FORTIS,2.66,-0.39,3.51,976.6,2564194
2026-05-11,32,SONACOMS,2.65,-0.85,6.4,595.0,6481132
2026-05-11,33,JKLAKSHMI,2.25,-0.18,4.61,682.2,135629
2026-05-11,34,ZYDUSLIFE,2.14,0.0,3.72,960.1,974453
2026-05-11,35,DBL,2.09,-1.21,5.33,489.0,254315
2026-05-11,36,CYIENT,1.94,0.24,5.16,920.0,601284
2026-05-11,37,RKFORGE,1.93,0.05,4.41,619.4,1298818
2026-05-11,38,SUNPHARMA,1.63,-0.96,3.3,1875.0,2550069
2026-05-11,39,ECLERX,1.62,-0.18,6.06,1695.0,412467
2026-05-11,40,ITDC,1.55,1.38,8.5,590.0,302929
2026-05-12,1,OIL,7.67,3.71,6.1,490.0,31560816
2026-05-12,2,ONGC,4.9,2.3,4.65,294.2,51641756
2026-05-12,3,BIOCON,2.98,0.22,3.66,403.75,11215254
2026-05-12,4,WESTLIFE,2.57,-0.2,3.21,513.9,79016
2026-05-12,5,VEDL,2.32,-0.3,3.95,305.95,47422516
2026-05-12,6,HINDZINC,2.27,2.85,2.23,643.3,12845472
2026-05-12,7,TATACHEM,2.05,0.66,4.31,775.6,2479301
2026-05-12,8,GODREJCP,1.88,0.21,4.02,1028.0,2845800
2026-05-12,9,PARAGMILK,1.68,-0.42,6.66,218.1,1461200
2026-05-12,10,HINDALCO,1.67,0.18,2.89,1042.5,4280582
2026-05-12,11,ICRA,1.66,0.74,2.31,5378.0,8412
2026-05-12,12,PIDILITIND,1.52,0.01,3.66,1454.8,1761118
2026-05-12,13,VTL,1.48,0.29,2.96,616.0,743679
2026-05-12,14,TTKPRESTIG,1.33,0.16,15.42,529.0,14367187
2026-05-12,15,AJANTPHARM,1.15,0.0,3.19,3086.0,237552
2026-05-12,16,NILKAMAL,1.12,-0.3,5.25,1308.0,13541
2026-05-12,17,BLISSGVS,1.1,0.59,4.91,276.0,3498142
2026-05-12,18,BAJAJCON,0.92,0.14,4.78,546.0,1742752
2026-05-12,19,ORIENTELEC,0.83,-1.6,4.81,188.55,823807
2026-05-12,20,AUROPHARMA,0.74,0.51,1.72,1490.0,1340268
2026-05-12,21,KNRCON,0.68,-0.47,4.92,131.5,3569369
2026-05-12,22,MUTHOOTCAP,0.62,0.48,6.28,208.28,19839
2026-05-12,23,CCL,0.56,0.13,4.19,1104.0,257617
2026-05-12,24,DCBBANK,0.54,-0.21,2.72,175.3,1735572
2026-05-12,25,DEEPAKNTR,0.44,-0.4,6.14,1870.0,333218
